0.000000000000000000e+00,4.509352614377064923e-11,1.902073691856332195e-05,9.999809792179926715e-01
2.500000000000000000e-01,1.463164409244042214e-10,3.191866339300296752e-05,9.999680811902847966e-01
5.000000000000000000e-01,5.027387413125257707e-10,5.671648573598603727e-05,9.999432830115279058e-01
7.500000000000000000e-01,1.697308598450728321e-09,9.903318016041975729e-05,9.999009651225166939e-01
1.000000000000000000e+00,5.324386559227319045e-09,1.607195554996261198e-04,9.998392751201219397e-01
1.250000000000000000e+00,1.705206567308435568e-08,2.663151421558506630e-04,9.997336678057868742e-01
1.500000000000000000e+00,5.307019189938926083e-08,4.289731459541292358e-04,9.995709737838416320e-01
1.750000000000000000e+00,1.713067332768769098e-07,7.167107545066231551e-04,9.992831179387439144e-01
2.000000000000000000e+00,5.524088025572162336e-07,1.196570446172324012e-03,9.988028771450181420e-01
2.250000000000000000e+00,1.813734653015612425e-06,2.034364610908360235e-03,9.979638216544093332e-01
2.500000000000000000e+00,6.068066866640236054e-06,3.524795868560453866e-03,9.964691360645756557e-01
2.750000000000000000e+00,2.070145841167683347e-05,6.227823295583044538e-03,9.937514752460464562e-01
3.000000000000000000e+00,7.212832512197576691e-05,1.123751429073463481e-02,9.886903573841812065e-01
3.250000000000000000e+00,2.557322292955062446e-04,2.063137196753990835e-02,9.791128958031117824e-01
3.500000000000000000e+00,9.184492934072357919e-04,3.836107068365356143e-02,9.607204800228831276e-01
3.750000000000000000e+00,3.305869482801566863e-03,7.146746837936471253e-02,9.252266621378292255e-01
4.000000000000000000e+00,1.168987567567265039e-02,1.307667878610245804e-01,8.575433364632863986e-01
4.250000000000000000e+00,3.907404961389522591e-02,2.261015721183548821e-01,7.348243782676768809e-01
4.500000000000000000e+00,1.153300988211601041e-01,3.450824269314413661e-01,5.395874742472567265e-01
4.750000000000000000e+00,2.742315442007702275e-01,4.240876562932343607e-01,3.016807995060611924e-01
5.000000000000000000e+00,4.950364617649556376e-01,3.954180481939780778e-01,1.095454900410125498e-01
5.250000000000000000e+00,6.991634934880808228e-01,2.881185740000765105e-01,1.271793251187073627e-02
5.500000000000000000e+00,8.227060185812485882e-01,1.745502707780568485e-01,2.743710640713879420e-03
5.750000000000000000e+00,9.008523534365494578e-01,9.841855658064863066e-02,7.290899827906480559e-04
6.000000000000000000e+00,9.466846770906467423e-01,5.313230320574841015e-02,1.830197036078717312e-04
6.250000000000000000e+00,9.720173788412529436e-01,2.793860145549114174e-02,4.401970325207263060e-05
6.500000000000000000e+00,9.855585324383655532e-01,1.443131263925185974e-02,1.015492236594522152e-05
6.750000000000000000e+00,9.926555789836413179e-01,7.342176053924497417e-03,2.244962422126883793e-06
7.000000000000000000e+00,9.963216933829579514e-01,3.677829771338129300e-03,4.768457159922378522e-07
7.250000000000000000e+00,9.981987268210280595e-01,1.801177840657762095e-03,9.533831703752371996e-08
7.500000000000000000e+00,9.991465425784246124e-01,8.534397745901044045e-04,1.764698136668471170e-08
7.750000000000000000e+00,9.996195151133101531e-01,3.804820425122324161e-04,2.844183902093233891e-09
